title,description,source,course_id,department,department_codes,topics,url,level,old_domain_single,unified_domain
New Global Agenda: Exploring 21st Century Challenges through Innovations in Information Technologies,"This workshop is designed to introduce students to different perspectives on international politics in the 21st century. Students will explore how advances in information technology are changing international relations and global governance through opening new channels of communication, creating new methods of education, and new potentials for democratization. We will consider the positive and negative externalities associated with applications of such technologies. Students will be encouraged to look at alternative futures, and/or to frame solutions to problems that they define. The class will include guest lectures, discussions, and a final project and presentation.",mit_ocw,27dbf90c59a98614d9ff95eec10ef9e2+17.918,Political Science,"[""17""]","[""Science and Technology Policy"", ""International Relations"", ""Business"", ""Information Technology"", ""Political Science"", ""Social Science"", ""Public Administration""]",http://ocw.mit.edu/courses/political-science/17-918-new-global-agenda-exploring-21st-century-challenges-through-innovations-in-information-technologies-january-iap-2006,Undergraduate,business,
Biological Chemistry I,"This course examines the chemical and physical properties of the cell and its building blocks, with special emphasis on the structures of proteins and principles of catalysis, as well as the chemistry of organic / inorganic cofactors required for chemical transformations within the cell. Topics encompass the basic principles of metabolism and regulation in pathways, including glycolysis, gluconeogenesis, fatty acid synthesis / degradation, pentose phosphate pathway, Krebs cycle and oxidative phosphorylation. [![Click to get started.](/images/button_start.png)](pages/syllabus) ##### Course Format This OCW Scholar course, designed for independent study, is closely modeled on the course taught on the MIT campus. The on-campus course has two types of class sessions: Lectures and recitations. The lectures meet three times each week and recitations meet once a week. In recitations, an instructor or Teaching Assistant elaborates on concepts presented in lecture, working through new examples with student participation, and answers questions. MIT students who take the corresponding residential class typically report an average of 10–15 hours spent each week, including lectures, recitations, readings, homework, and exams. All students are encouraged to supplement the textbooks and readings with their own research. The Scholar course has three major learning units, called Modules. Each module has been divided into a sequence of lecture sessions that include: * Textbook Readings * Lecture Notes or Storyboards * A video by Professor JoAnne Stubbe or Professor John Essigmann * Problem Sets and solutions To help guide your learning, each of these problem sets are accompanied by Problem Solving Videos where Dr. Bogdan Fedeles solves one of the problems from the set.",mit_ocw,2c6a0dad6eb48e88a28a2e79e58a14b9+5.07SC,Chemistry,"[""5""]","[""Biology"", ""Biochemistry"", ""Science""]",http://ocw.mit.edu/courses/chemistry/5-07sc-biological-chemistry-i-fall-2013,Undergraduate,,
Art of Color,"This seminar introduces, through studio projects, the basic principles regarding the use of color in the visual arts. Students explore a range of topics, including the historical uses of color in the arts, the interactions between colors, and the psychology of color.",mit_ocw,e2c7b731d0b7c02446b01ddafd4c0187+ES.298,Experimental Study Group,"[""ES""]","[""Fine Arts"", ""Visual Arts""]",http://ocw.mit.edu/courses/experimental-study-group/es-298-art-of-color-spring-2005,Undergraduate,design,
War & American Society,"Writing in the wake of the Civil War, poet Walt Whitman insisted that ""the real war will never get in the books."" Throughout American history, the experience of war has fundamentally shaped the ways that Americans think about themselves, their fellow Americans, and the meanings of national citizenship. War has also posed challenges of representation, both for those who fought as well as those who did not. This subject examines how Americans have told the stories of modern war in history, literature, and popular culture, and interprets them in terms of changing ideas about American national identity.",mit_ocw,649649de65ea6842ffeadabc75c86cfe+21H.223,History,"[""21H""]","[""Military History"", ""Social Anthropology"", ""American History"", ""Anthropology"", ""Humanities"", ""Cultural Anthropology"", ""Social Science"", ""History""]",http://ocw.mit.edu/courses/history/21h-223-war-american-society-fall-2002,Undergraduate,,
Language Disorders in Children,"This seminar focuses on reading and discussion of current linguistic theory, first language acquisition and language disorders in young children. It also focuses on development of a principled understanding of language disorders at the phonological, morphological and syntactic levels, examining ways in which these disorders confront theories of language and acquisition.",mit_ocw,4d1e243c69c6bc9c58c70feb3434cdad+24.947,Linguistics And Philosophy,"[""24""]","[""Language"", ""Humanities"", ""Linguistics""]",http://ocw.mit.edu/courses/linguistics-and-philosophy/24-947-language-disorders-in-children-spring-2013,Graduate,,
Methods of Policy Analysis,"This course provides an introduction to public policy analysis. It is designed for students who may be planning a career in public or non-profit sectors. The primary goal is to help students understand the implications of public policy for different pursuits. The class examines various approaches to policy analysis by considering the concepts, tools, and methods used in economics, political science, and other disciplines. Students apply and critique these approaches through case studies of current public policy problems.",mit_ocw,f9d452bd7677091b62cb892392c46a9d+11.003J,Urban Studies And Planning,"[""11"", ""17""]","[""Science and Technology Policy"", ""Business"", ""Environmental Policy"", ""Health and Medicine"", ""Regional Politics"", ""Political Science"", ""Social Science"", ""Public Administration"", ""Globalization"", ""Public Health"", ""Public Policy"", ""Health Care Management"", ""Social Welfare""]",http://ocw.mit.edu/courses/urban-studies-and-planning/11-003j-methods-of-policy-analysis-spring-2016,Undergraduate,business,
Music of Africa,"This course is an introduction to selected musical traditions of West Africa. A variety of musical practices and their cultural contexts will be explored through listening, reading, and written assignments, with an emphasis on class discussion. The course includes in-class instruction in West African drumming, song and dance, as well as lecture-demonstrations by guest artists. After an introductory unit, the course will be organized around four main geographical areas: Senegal, Mali, Ghana, and Nigeria. An in-depth study of music from these countries will be interspersed with brief overviews of Southern, Central, and East Africa.",mit_ocw,076b79b5d33d6e1f9d34630f3acd6034+21M.293,Music And Theater Arts,"[""21M""]","[""Music History"", ""History"", ""Music"", ""Fine Arts"", ""Ethnography"", ""Humanities"", ""Social Science"", ""African History"", ""Performance Arts"", ""Anthropology"", ""Dance""]",http://ocw.mit.edu/courses/music-and-theater-arts/21m-293-music-of-africa-fall-2005,Undergraduate,,
Multivariable Calculus,"This course covers vector and multi-variable calculus. It is the second semester in the freshman calculus sequence. Topics include vectors and matrices, partial derivatives, double and triple integrals, and vector calculus in 2 and 3-space. MIT OpenCourseWare offers another version of 18.02, from the Spring 2006 term. Both versions cover the same material, although they are taught by different faculty and rely on different textbooks. Multivariable Calculus (18.02) is taught during the Fall and Spring terms at MIT, and is a required subject for all MIT undergraduates.",mit_ocw,591c93e320822d6c7752dedc4fbe27d4+18.02,Mathematics,"[""18""]","[""Mathematics"", ""Differential Equations"", ""Calculus"", ""Linear Algebra""]",http://ocw.mit.edu/courses/mathematics/18-02-multivariable-calculus-fall-2007,Undergraduate,,
Multi-Scale System Design,"Multi-scale systems (MuSS) consist of components from two or more length scales (nano, micro, meso, or macro-scales). In MuSS, the engineering modeling, design principles, and fabrication processes of the components are fundamentally different. The challenge is to make these components so they are conceptually and model-wise compatible with other-scale components with which they interface. This course covers the fundamental properties of scales, design theories, modeling methods and manufacturing issues which must be addressed in these systems. Examples of MuSS include precision instruments, nanomanipulators, fiber optics, micro/nano-photonics, nanorobotics, MEMS (piezoelectric driven manipulators and optics), X-Ray telescopes and carbon nano-tube assemblies. Students master the materials through problem sets and a project literature critique.",mit_ocw,331731bb0eaf6df7806a9bb8cfd4d6c2+2.76,Mechanical Engineering,"[""2""]","[""Systems Engineering"", ""Engineering"", ""Mechanical Design"", ""Systems Design"", ""Mechanical Engineering"", ""Nanotechnology"", ""Microtechnology""]",http://ocw.mit.edu/courses/mechanical-engineering/2-76-multi-scale-system-design-fall-2004,Graduate,cloud_devops,
Research Topics in Architecture: Citizen-Centered Design of Open Governance Systems,"In this seminar, students will design and perfect a digital environment to house the activities of large-scale organizations of people making bottom-up decisions, such as with citizen-government affairs, voting corporate shareholders or voting members of global non-profits and labor unions. A working Open Source prototype created last semester will be used as the starting point, featuring collaborative filtering and electronic agent technology pioneered at the Media Lab. This course focuses on development of online spaces as part of an interdependent human environment, including physical architectures, mapped work processes and social/political dimensions. A cross-disciplinary approach will be taken; students with background in architecture, urban planning, law, cognition, business, digital media and computer science are encouraged to participate. No prior technical knowledge is necessary, though a rudimentary understanding of web page creation is helpful.",mit_ocw,11f92dc2e7ab50649526e7816a52a5ca+4.285,Architecture,"[""4""]","[""Fine Arts"", ""Systems Design"", ""Environmental Design"", ""Systems Engineering"", ""Digital Media"", ""Engineering"", ""Social Science"", ""Media Studies"", ""Architecture"", ""Public Administration""]",http://ocw.mit.edu/courses/architecture/4-285-research-topics-in-architecture-citizen-centered-design-of-open-governance-systems-fall-2002,Graduate,cloud_devops,
